,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000242770.2,2,4,31,252,6,206,2,8,54,10,5,133
ENSG00000242771.1,20,1,0,0,0,0,0,0,0,6,2,0
ENSG00000242775.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242779.7,427,289,343,548,316,747,289,158,341,649,460,333
ENSG00000242781.2,3,0,7,2,6,261,20,21,4,0,3,5
ENSG00000242790.1,0,0,4,0,1,1,4,1,0,1,0,0
ENSG00000242791.2,7,12,12,6,18,7,9,14,10,20,8,7
ENSG00000242793.1,0,0,1,0,0,0,0,0,1,3,0,0
ENSG00000242794.2,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242795.2,785,153,538,545,721,308,127,354,328,261,201,182
ENSG00000242797.3,37,27,32,20,39,60,34,41,29,36,25,26
ENSG00000242798.1,7,11,14,12,27,56,23,8,43,22,14,16
ENSG00000242802.9,1563,642,891,765,714,2789,724,874,828,1033,908,799
ENSG00000242807.1,2,1,1,0,1,1,2,1,2,5,0,0
ENSG00000242808.10,28,32,70,76,104,65,74,33,59,100,55,79
ENSG00000242810.1,4,4,4,5,0,4,2,4,11,4,5,4
ENSG00000242811.3,3,2,6,3,4,9,6,6,6,6,2,0
ENSG00000242814.2,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000242816.2,5,1,15,2,2,1,13,6,1,71,23,2
ENSG00000242818.3,11,28,28,11,19,42,11,11,12,16,14,16
ENSG00000242828.1,1,0,7,1,0,138,2,3,1,0,0,0
ENSG00000242829.1,39,33,41,31,23,34,13,36,38,21,15,44
ENSG00000242834.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242836.1,5,4,10,7,11,7,6,7,4,22,0,13
ENSG00000242837.1,0,0,0,1,1,0,3,0,0,0,0,0
ENSG00000242841.1,8,9,4,31,4,35,6,3,14,1,2,11
ENSG00000242849.2,1,2,1,1,6,1,0,0,0,2,0,0
ENSG00000242850.3,0,0,0,0,1,0,0,0,1,0,0,0
ENSG00000242852.7,16,3,15,10,24,29,12,26,21,12,11,15
ENSG00000242853.3,48,31,44,42,27,113,22,46,28,35,25,17
ENSG00000242854.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242855.3,14,2,1,7,0,2,11,7,1,11,4,6
ENSG00000242856.3,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000242858.1,2,2,1,3,1,5,3,2,0,7,2,2
ENSG00000242860.3,13,3,12,5,16,16,13,14,15,17,19,10
ENSG00000242861.1,157,72,184,56,125,264,113,164,87,106,92,68
ENSG00000242863.3,3,14,17,15,1,21,0,0,12,6,1,17
ENSG00000242865.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242866.10,12,3,42,32,18,20,14,9,45,18,19,8
ENSG00000242875.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242876.3,11,7,13,4,9,20,9,14,8,7,11,9
ENSG00000242880.2,18,15,28,24,22,26,32,46,39,32,23,82
ENSG00000242882.1,24,13,40,25,12,30,46,23,29,87,27,28
ENSG00000242887.1,16,36,16,1,2,3,14,58,30,7,8,4
ENSG00000242888.1,23,18,19,24,47,15,36,34,28,43,22,51
ENSG00000242889.3,39,28,13,21,34,24,24,11,18,20,22,6
ENSG00000242893.3,32,25,17,10,11,15,13,16,16,17,16,16
ENSG00000242894.3,17,6,5,2,0,7,6,0,2,7,4,7
ENSG00000242899.1,10,10,45,3,11,5,3,9,3,23,14,6
ENSG00000242902.1,0,0,2,3,0,1,1,0,1,0,0,1
ENSG00000242908.6,1,2,30,34,14,10,10,14,59,30,20,12
ENSG00000242911.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242912.3,2,0,1,1,4,3,1,1,1,1,0,0
ENSG00000242915.1,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000242922.2,0,0,1,3,0,0,1,5,0,0,0,0
ENSG00000242925.1,7,0,13,5,6,12,8,8,10,6,2,2
ENSG00000242928.3,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000242931.1,32,34,17,50,41,37,26,42,38,43,34,39
ENSG00000242936.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000242941.1,1,4,5,0,1,2,5,4,3,2,1,7
ENSG00000242943.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242945.2,5,0,1,0,0,0,0,0,1,0,1,2
ENSG00000242948.1,6,0,41,4,51,4,24,1,30,3,3,76
ENSG00000242950.7,290,163,313,296,164,287,242,241,374,356,255,221
ENSG00000242951.1,23,13,21,20,18,18,21,14,15,14,15,21
ENSG00000242952.1,9,0,9,6,0,9,9,6,4,12,12,6
ENSG00000242953.1,6,0,3,0,2,8,5,1,1,2,2,0
ENSG00000242958.1,19,14,15,16,15,12,13,24,17,13,13,8
ENSG00000242960.1,12,9,18,19,34,9,7,15,26,16,13,22
ENSG00000242963.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000242968.1,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000242970.2,22,30,12,18,12,60,31,13,39,17,15,21
ENSG00000242971.3,25,16,15,24,5,35,12,18,5,14,19,23
ENSG00000242973.6,1,2,9,5,2,7,3,2,5,7,7,4
ENSG00000242976.3,42,1,0,0,0,0,2,0,0,1,1,0
ENSG00000242978.1,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000242979.1,2,0,4,3,1,6,3,2,1,0,3,1
ENSG00000242983.1,0,1,0,9,0,5,0,0,13,5,0,5
ENSG00000242985.3,4,1,0,0,1,0,0,0,0,0,1,0
ENSG00000242986.2,17,5,10,12,4,18,13,29,9,11,9,8
ENSG00000242989.3,0,0,1,0,0,0,1,0,0,1,0,0
ENSG00000242990.2,3,1,0,0,3,5,0,1,0,2,2,0
ENSG00000242991.2,0,1,0,0,1,0,0,1,0,0,0,3
ENSG00000242992.3,45,45,35,62,87,47,23,51,60,39,34,53
ENSG00000242993.1,6,4,2,7,1,2,4,6,6,2,0,3
ENSG00000242995.1,3,0,3,1,1,0,1,1,0,3,0,1
ENSG00000242998.3,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000242999.3,31,14,59,26,52,67,24,39,45,50,30,36
ENSG00000243004.6,116,63,339,114,81,328,112,98,56,144,133,112
ENSG00000243005.3,66,56,33,62,55,71,35,66,57,30,37,41
ENSG00000243007.1,5,2,9,2,4,10,8,2,4,1,6,3
ENSG00000243008.2,4,0,2,1,0,2,1,3,1,3,1,6
ENSG00000243011.3,2,1,1,0,0,1,1,0,0,2,0,0
ENSG00000243014.1,12,7,5,1,7,10,4,5,1,4,2,2
ENSG00000243015.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243016.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000243018.1,1,0,9,2,1,1,2,1,2,2,9,2
ENSG00000243020.1,22,6,15,17,11,18,2,12,7,17,7,11
ENSG00000243022.1,3,2,3,11,3,2,1,2,3,3,1,6
ENSG00000243023.2,1,0,3,0,1,1,0,4,1,0,0,0
ENSG00000243024.6,10,3,9,5,9,9,8,8,6,11,6,12
ENSG00000243025.1,14,8,15,34,26,5,0,25,11,7,5,18
ENSG00000243027.3,0,4,0,0,1,1,0,0,0,2,1,0
ENSG00000243029.3,11,1,1,3,0,1,5,7,0,5,1,3
ENSG00000243033.2,14,13,22,7,23,12,21,47,34,26,12,7
ENSG00000243035.3,2,1,0,0,0,1,0,0,0,0,1,0
ENSG00000243038.1,4,1,2,1,1,2,0,7,1,1,2,1
ENSG00000243040.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243044.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243048.3,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000243049.3,17,3,4,6,11,0,9,1,2,19,4,3
ENSG00000243050.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243051.3,25,18,12,21,11,19,12,17,25,19,25,53
ENSG00000243053.2,35,45,44,86,35,41,33,36,38,28,54,44
ENSG00000243055.1,132,238,49,81,42,91,22,82,79,48,47,41
ENSG00000243056.2,20,3,8,12,19,26,9,16,12,19,13,8
ENSG00000243058.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243059.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243062.6,0,0,2,0,4,3,1,0,0,3,0,1
ENSG00000243063.1,40,23,25,6,8,8,35,45,22,7,5,2
ENSG00000243064.8,0,1,0,19,0,324,2,17,0,0,3,0
ENSG00000243066.3,1,2,1,1,0,0,2,2,1,0,2,0
ENSG00000243069.8,24,3,17,22,56,22,46,15,24,94,59,19
ENSG00000243071.1,3,0,5,5,4,4,11,3,3,7,10,4
ENSG00000243072.1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000243073.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243075.3,0,0,1,2,0,1,2,1,2,2,1,0
ENSG00000243081.2,4,2,26,193,15,108,9,0,2,40,51,3
ENSG00000243083.7,18,4,12,9,24,64,43,4,13,18,22,10
ENSG00000243085.1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000243089.2,3,2,22,8,9,10,22,17,7,6,4,15
ENSG00000243094.1,7,11,14,13,19,11,7,9,9,12,15,17
ENSG00000243095.1,30,16,19,19,23,8,22,29,28,26,10,15
ENSG00000243099.1,0,0,0,0,3,0,0,1,0,1,0,1
ENSG00000243101.1,33,23,40,56,39,78,42,41,59,51,46,49
ENSG00000243103.3,12,10,27,9,7,8,4,20,19,17,24,15
ENSG00000243104.1,0,12,3,8,4,17,2,0,3,7,1,6
ENSG00000243107.1,138,89,111,116,102,186,102,106,121,152,105,95
ENSG00000243115.3,0,0,0,0,1,0,0,0,1,2,0,0
ENSG00000243116.1,1,1,0,3,7,0,0,1,3,0,7,1
ENSG00000243122.1,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000243124.3,4,0,1,1,0,0,1,0,1,2,2,0
ENSG00000243125.3,2,1,1,4,0,0,0,0,0,5,5,1
ENSG00000243129.2,4,0,1,5,3,0,0,2,1,1,1,3
ENSG00000243130.8,2,0,3,0,0,1,0,4,80,3,3,8
ENSG00000243135.6,41,5,16,54,2,28,3,3,33,26,30,13
ENSG00000243136.3,2,1,0,0,1,0,0,2,0,0,0,0
ENSG00000243137.8,8,0,11,12,0,43,1,4,130,13,10,116
ENSG00000243141.2,4,6,10,3,7,21,3,2,4,10,21,4
ENSG00000243144.7,27,7,41,38,36,29,34,24,61,43,40,103
ENSG00000243147.8,1037,688,967,1479,757,1207,695,996,668,999,601,1161
ENSG00000243149.2,0,0,0,0,0,0,2,1,1,3,1,2
ENSG00000243150.6,2,0,3,7,4,0,0,3,9,2,2,1
ENSG00000243154.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243155.1,12,4,14,7,12,21,20,27,23,20,11,18
ENSG00000243156.9,1313,1149,1632,2821,1492,3123,1718,1534,2164,2036,1570,1998
ENSG00000243160.1,0,0,0,0,1,0,2,0,1,2,0,0
ENSG00000243164.1,0,0,0,1,10,0,0,0,0,1,0,4
ENSG00000243165.1,0,0,1,4,1,1,0,0,0,2,0,0
ENSG00000243167.1,1,1,2,1,0,1,4,4,1,8,2,1
ENSG00000243171.1,0,0,0,0,0,0,2,1,2,0,0,2
ENSG00000243173.3,11,6,14,11,9,4,7,7,9,10,7,13
ENSG00000243175.1,167,88,112,179,104,207,125,110,179,152,131,94
ENSG00000243176.6,106,51,288,160,383,289,201,250,134,337,198,119
ENSG00000243179.1,4,20,12,16,5,7,11,17,12,8,6,7
ENSG00000243181.2,98,8,3,10,8,2,15,7,10,12,9,13
ENSG00000243187.1,1,0,5,2,2,7,6,7,2,1,2,1
ENSG00000243188.1,19,1,48,50,6,59,6,2,18,7,1,0
ENSG00000243193.4,29,11,28,8,18,27,29,90,15,36,23,25
ENSG00000243195.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243197.8,77,0,49,3,6,2,20,4,2,122,39,1
ENSG00000243199.1,88,14,30,38,18,35,40,49,47,48,34,34
ENSG00000243207.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243220.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243224.1,6,20,16,9,20,18,19,16,8,29,22,24
ENSG00000243225.2,2,1,2,1,8,1,1,1,9,1,2,10
ENSG00000243227.3,3,7,8,9,11,9,4,15,17,5,12,7
ENSG00000243230.1,5,4,9,8,3,10,7,6,6,10,14,18
ENSG00000243232.6,479,475,101,156,376,252,276,67,92,208,129,76
ENSG00000243234.1,1,0,2,0,0,4,3,4,3,3,6,2
ENSG00000243236.6,2,0,1,0,0,0,0,0,0,0,0,0
ENSG00000243238.1,435,172,785,55,50,340,902,700,161,224,172,37
ENSG00000243243.5,53,74,61,103,91,76,36,80,63,31,35,78
ENSG00000243244.7,647,436,692,894,862,477,784,833,1040,689,680,1896
ENSG00000243250.1,15,5,7,13,11,10,11,22,13,9,10,26
ENSG00000243254.3,18,7,24,13,12,24,14,8,25,9,15,9
ENSG00000243256.1,4,0,5,6,3,0,4,2,0,12,9,2
ENSG00000243257.1,6,2,7,7,10,3,6,5,1,1,3,3
ENSG00000243260.3,39,49,37,69,39,65,41,42,31,39,32,35
ENSG00000243264.2,278,313,95,29,120,117,279,404,147,26,38,45
ENSG00000243265.1,27,47,33,27,21,27,21,42,36,18,14,11
ENSG00000243267.3,8,8,2,5,13,13,2,6,4,5,8,15
ENSG00000243273.1,1,0,1,1,4,0,2,0,1,0,0,1
ENSG00000243274.3,0,0,1,2,0,2,0,0,0,1,2,1
ENSG00000243276.6,1,1,3,1,0,0,1,3,5,1,1,1
ENSG00000243279.4,58,34,73,43,128,76,55,45,64,86,41,63
ENSG00000243280.2,21,23,26,7,12,34,12,45,32,23,18,25
ENSG00000243284.1,0,0,3,2,2,6,3,3,1,2,2,3
ENSG00000243287.2,0,0,1,4,0,0,1,1,0,2,1,1
ENSG00000243289.1,19,10,34,22,20,32,6,10,8,7,5,17
ENSG00000243290.3,3747,253,251,39,318,203,817,175,720,286,165,100
ENSG00000243295.2,5,0,6,2,1,4,4,7,5,11,4,7
ENSG00000243296.1,0,0,4,3,1,1,3,0,2,3,3,0
ENSG00000243297.2,5,6,4,7,5,5,9,2,3,10,10,16
ENSG00000243302.3,204,265,559,276,175,426,242,275,274,171,233,210
ENSG00000243303.1,24,6,13,23,13,29,8,22,10,15,15,17
ENSG00000243304.3,4,1,20,6,5,6,6,3,13,15,8,5
ENSG00000243305.1,3,0,2,0,4,0,0,1,1,2,0,0
ENSG00000243307.2,33,5,21,19,14,39,28,22,5,13,12,30
ENSG00000243312.3,3,2,9,3,2,6,4,6,4,3,16,3
ENSG00000243313.2,52,60,82,80,69,81,54,62,62,24,39,57
ENSG00000243314.1,40,18,29,47,42,45,17,38,35,25,14,29
ENSG00000243316.7,2,0,26,3,1,51,0,1,0,1,2,0
ENSG00000243317.8,1224,590,1001,958,1133,1571,870,936,863,1181,800,1130
ENSG00000243319.7,46,5,42,37,74,27,100,50,45,155,59,27
ENSG00000243321.3,3,1,4,3,1,2,9,1,6,3,4,4
ENSG00000243323.7,37,40,33,12,34,112,43,38,38,49,41,15
ENSG00000243328.1,0,0,0,0,0,1,4,0,0,2,0,0
ENSG00000243333.3,15,10,19,26,10,22,10,22,17,21,5,7
ENSG00000243335.10,1027,671,935,1006,897,1551,819,839,776,965,826,1282
ENSG00000243338.3,2,5,8,5,0,12,2,0,2,6,0,0
ENSG00000243339.3,14,11,10,5,7,10,4,5,8,16,7,5
ENSG00000243345.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243346.3,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000243347.2,2,0,0,1,0,0,0,1,0,0,0,0
ENSG00000243349.2,1,5,7,0,6,18,2,0,5,31,7,21
ENSG00000243352.3,18,5,0,0,9,2,1,7,3,13,6,0
ENSG00000243353.1,10,6,10,13,4,17,1,10,12,14,7,15
ENSG00000243355.1,1,0,0,0,1,0,3,2,1,0,0,0
ENSG00000243359.3,72,67,67,77,102,35,54,31,26,36,20,28
ENSG00000243364.8,340,129,202,228,188,827,145,141,152,165,136,199
ENSG00000243365.3,17,2,0,3,1,0,3,2,1,10,3,1
ENSG00000243366.3,19,1,3,2,2,0,2,1,1,3,4,4
ENSG00000243368.2,37,29,28,35,90,38,38,32,23,50,27,30
ENSG00000243370.3,11,7,15,21,13,7,21,14,18,19,17,13
ENSG00000243373.3,13,11,13,9,8,10,9,17,3,15,5,18
ENSG00000243374.3,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000243378.1,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000243383.3,7,1,7,2,0,4,2,2,1,2,1,3
ENSG00000243384.1,2,0,4,3,7,3,4,17,3,1,6,5
ENSG00000243385.2,51,4,12,58,23,43,12,19,19,22,15,20
ENSG00000243388.1,0,0,2,0,0,4,4,1,2,2,3,3
ENSG00000243389.1,0,1,2,5,2,6,1,7,2,6,2,5
ENSG00000243396.1,6,4,4,5,1,1,5,6,2,3,6,2
ENSG00000243398.3,156,182,97,223,162,115,93,78,159,86,68,170
ENSG00000243402.1,82,98,92,106,66,197,46,111,163,76,59,88
ENSG00000243403.1,5,9,16,10,5,12,11,16,9,9,11,4
ENSG00000243404.2,21,36,31,37,14,11,25,26,41,33,19,15
ENSG00000243406.6,113,128,85,115,69,319,69,98,76,93,103,116
ENSG00000243410.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243414.6,3,4,9,21,12,4,6,5,9,5,2,11
ENSG00000243415.2,151,150,67,223,504,73,68,95,165,111,103,355
ENSG00000243417.1,11,4,8,2,6,0,5,7,14,3,6,2
ENSG00000243420.3,2,7,7,3,2,0,9,4,7,1,3,0
ENSG00000243422.2,8,1,4,5,4,8,9,3,1,10,11,6
ENSG00000243423.1,24,29,18,43,19,25,24,35,17,28,29,20
ENSG00000243424.2,37,5,2,6,6,2,4,6,1,8,4,10
ENSG00000243426.3,7,3,0,4,1,1,19,2,4,4,6,5
ENSG00000243429.1,0,0,0,0,0,0,2,0,1,1,2,0
ENSG00000243431.1,31,20,24,47,61,29,56,24,54,74,41,40
ENSG00000243433.1,17,11,13,14,10,18,18,20,9,19,5,9
ENSG00000243437.3,42,26,32,39,15,22,34,21,31,19,19,35
ENSG00000243438.1,3,2,0,1,1,1,2,3,0,0,0,6
ENSG00000243439.3,0,0,0,2,3,0,2,0,1,1,0,0
ENSG00000243445.1,1,0,5,0,2,5,2,3,3,4,5,0
ENSG00000243446.3,14,8,18,9,19,4,6,2,11,11,10,7
ENSG00000243449.6,101,32,51,81,184,371,53,31,105,81,53,45
ENSG00000243455.3,4,5,4,3,4,13,3,0,1,5,2,2
ENSG00000243466.1,2295,3817,5959,427,1301,2063,3718,11847,8164,1427,639,460
ENSG00000243468.5,5,2,1,1,0,7,1,1,0,3,3,1
ENSG00000243469.1,0,1,0,0,0,0,2,0,0,1,0,0
ENSG00000243477.6,165,103,121,83,116,106,97,123,117,88,105,119
ENSG00000243478.9,0,1,0,2,4,5,2,1,2,0,1,3
ENSG00000243479.3,91,16,41,7,38,163,36,15,24,81,47,13
ENSG00000243480.7,101516,0,2,64,1,75,292,32,1,21737,1617,12
ENSG00000243483.1,1,4,5,5,14,6,3,6,2,4,3,4
ENSG00000243485.5,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000243486.1,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000243488.3,16,0,1,4,2,0,2,1,0,4,2,2
ENSG00000243489.4,1,0,0,1,0,0,2,1,0,4,1,0
ENSG00000243491.1,2,1,11,3,13,2,7,2,63,5,4,0
ENSG00000243494.1,1,1,0,3,0,4,0,0,0,0,0,0
ENSG00000243495.1,0,1,74,9,1,34,0,0,108,0,0,0
ENSG00000243498.2,9,5,13,19,14,30,9,22,14,14,11,7
ENSG00000243499.1,0,0,0,0,0,2,2,0,0,0,0,0
ENSG00000243501.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243503.2,0,0,1,0,0,2,1,1,0,0,0,1
ENSG00000243504.1,1,2,2,6,2,9,6,3,8,9,14,3
ENSG00000243505.3,3,0,0,0,0,0,0,0,0,1,0,1
ENSG00000243507.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243508.1,65,107,92,125,173,113,82,75,97,146,97,119
ENSG00000243509.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243510.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243514.2,0,0,3,2,6,6,3,2,3,4,0,1
ENSG00000243516.1,2,0,0,0,0,0,2,2,3,1,1,0
ENSG00000243517.1,35,11,8,10,32,36,41,17,19,55,24,25
ENSG00000243518.1,2,1,14,7,1,2,3,8,5,8,5,0
ENSG00000243519.1,1,1,2,2,1,6,1,6,0,3,0,6
ENSG00000243521.2,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000243531.1,0,0,2,0,0,0,0,0,1,0,1,0
ENSG00000243532.3,11,11,20,16,24,41,27,9,5,10,13,6
ENSG00000243537.1,0,1,0,0,0,1,0,0,33,0,0,4
ENSG00000243538.1,10,10,12,17,20,30,10,10,12,12,10,18
ENSG00000243539.3,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000243541.3,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000243543.9,0,0,1,0,0,0,1,0,2,0,0,2
ENSG00000243544.3,18,15,34,9,15,14,32,36,25,34,39,11
ENSG00000243546.3,14,3,5,6,6,11,6,14,9,12,2,10
ENSG00000243547.1,28,24,17,19,23,30,21,24,9,44,31,16
ENSG00000243548.3,1,0,5,1,0,0,1,1,0,1,1,1
ENSG00000243549.3,1,0,0,1,0,0,0,0,0,1,0,0
ENSG00000243550.3,3,0,1,9,0,11,8,1,1,0,1,3
ENSG00000243554.1,16,2,14,19,6,13,1,14,52,3,12,10
ENSG00000243560.3,16,4,8,21,4,14,10,5,4,15,12,4
ENSG00000243562.3,56,11,7,15,3,14,8,9,6,26,3,10
ENSG00000243566.7,20,15,20,122,38,50,89,19,301,156,140,75
ENSG00000243568.2,3,4,7,3,3,6,3,4,5,2,4,2
ENSG00000243572.1,0,0,3,0,0,0,0,0,0,2,1,0
ENSG00000243574.2,1,0,0,0,1,3,2,0,0,1,0,0
ENSG00000243581.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243584.1,0,0,1,1,0,2,1,1,0,0,0,1
ENSG00000243591.3,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000243592.1,5,1,0,5,0,1,7,1,0,6,6,0
ENSG00000243593.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243596.1,0,0,0,0,1,2,1,0,0,0,0,2
ENSG00000243601.1,22,19,35,64,36,31,47,56,56,43,34,103
ENSG00000243607.3,0,0,3,0,5,1,6,3,1,2,8,3
ENSG00000243609.1,88,140,115,149,45,130,59,101,115,81,73,90
ENSG00000243613.1,0,0,2,1,1,2,0,1,2,1,1,3
ENSG00000243620.2,0,0,0,0,1,0,2,0,0,0,3,1
ENSG00000243621.1,98,37,62,59,100,156,92,94,69,114,86,71
ENSG00000243627.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243629.2,9,4,11,9,9,7,6,6,3,7,9,2
ENSG00000243633.3,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000243635.1,3,0,0,1,1,0,2,1,2,0,0,0
ENSG00000243636.1,2,1,2,3,1,2,8,1,4,2,5,3
ENSG00000243641.3,0,0,1,0,1,2,3,0,0,0,0,0
ENSG00000243642.3,9,1,6,7,7,19,12,6,7,10,9,3
ENSG00000243643.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243646.10,47,92,111,51,66,127,47,81,71,62,44,50
ENSG00000243648.1,0,3,3,1,1,30,1,1,1,3,0,3
ENSG00000243649.9,151,122,394,71,381,419,121,160,59,342,183,71
ENSG00000243650.3,67,80,129,131,57,430,72,167,102,85,75,72
ENSG00000243655.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243658.1,10,6,20,26,18,23,36,8,13,42,45,34
ENSG00000243659.1,4,2,5,8,3,9,2,10,4,15,11,4
ENSG00000243660.11,248,281,514,347,246,628,304,368,337,342,281,228
ENSG00000243661.1,0,1,0,0,0,0,1,2,1,1,2,1
ENSG00000243663.1,81,70,37,86,17,87,55,70,57,64,64,70
ENSG00000243664.1,10,2,3,1,0,42,2,10,0,4,0,0
ENSG00000243667.7,158,92,214,200,162,263,148,221,153,214,189,215
ENSG00000243669.2,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000243671.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243672.1,26,1,12,4,6,46,10,4,21,2,3,8
ENSG00000243674.1,2,0,0,0,9,1,4,0,1,0,0,0
ENSG00000243675.1,12,11,27,39,61,41,28,22,24,38,26,50
ENSG00000243678.12,43,32,69,31,61,72,19,42,35,22,23,34
ENSG00000243679.1,98,132,251,131,130,310,112,125,187,71,83,132
ENSG00000243680.1,5,3,0,15,5,6,12,5,7,6,10,5
ENSG00000243686.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243687.1,32,23,40,37,60,23,18,25,21,44,40,36
ENSG00000243694.3,2,0,1,2,17,10,7,5,6,2,1,4
ENSG00000243695.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243696.5,44,38,51,26,55,42,41,47,50,55,66,22
ENSG00000243697.1,2,1,12,5,8,4,17,6,5,10,14,6
ENSG00000243700.3,7,0,1,2,0,0,0,1,0,1,0,1
ENSG00000243701.7,587,394,719,813,725,909,679,449,1047,1071,818,1083
ENSG00000243702.3,2,4,3,3,3,2,3,3,4,1,3,3
ENSG00000243704.3,13,20,4,3,7,6,7,6,6,6,2,4
ENSG00000243705.1,0,0,1,1,0,1,0,4,0,0,6,3
ENSG00000243708.10,16,15,12,14,9,50,17,11,47,16,9,18
ENSG00000243709.1,340,5,203,9,717,307,1066,45,14,400,173,19
ENSG00000243710.8,23,35,52,34,65,35,50,24,87,43,27,34
ENSG00000243711.1,20,1,0,5,4,12,1,7,5,2,8,5
ENSG00000243715.1,1,0,5,10,1,7,4,1,16,46,28,2
ENSG00000243716.10,161,119,99,69,130,219,61,109,59,39,66,76
ENSG00000243720.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000243721.1,0,0,0,0,0,0,1,0,0,1,0,0
ENSG00000243723.3,7,2,3,7,1,6,11,2,10,21,7,3
ENSG00000243725.7,56,22,56,29,51,70,30,50,44,50,31,38
ENSG00000243729.4,0,1,1,2,2,0,0,0,1,0,0,0
ENSG00000243730.2,0,0,0,1,0,9,1,0,0,3,2,0
ENSG00000243733.1,0,0,0,1,1,0,2,1,1,0,0,0
ENSG00000243738.3,43,9,10,12,14,9,9,18,8,9,5,10
ENSG00000243742.5,121,50,223,376,255,199,99,112,174,769,597,263
ENSG00000243744.2,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000243746.1,56,39,72,30,36,46,69,54,46,93,54,30
ENSG00000243749.1,0,0,4,2,2,0,0,0,1,1,0,1
ENSG00000243753.5,321,399,203,418,305,669,200,398,276,243,204,239
ENSG00000243758.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243759.1,22,21,35,30,18,20,44,60,57,42,33,10
ENSG00000243761.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000243762.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243766.8,6,41,91,89,53,190,49,32,43,1,0,39
ENSG00000243770.3,25,7,14,7,22,8,7,11,8,12,10,11
